major group,kingdom,subkingdom,infrakingdom,superphylum,phylum,subphylum,infraphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,supergenus,genus,subgenus,species name,subspecies name,Accepted as,picture
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Coscinodiscaceae,-,-,Coscinodiscus,-,Coscinodiscus sp.3,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Coscinodiscaceae,-,-,Coscinodiscus,-,Coscinodiscus sp.4,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Coscinodiscaceae,-,-,Coscinodiscus,-,Coscinodiscus sp.5,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Coscinodiscaceae,-,-,Coscinodiscus,-,Coscinodiscus sp.6,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Coscinodiscaceae,-,-,Coscinodiscus,-,Coscinodiscus sp.7,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Coscinodiscaceae,-,-,Coscinodiscus,-,Coscinodiscus sp.8,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Coscinodiscaceae,-,-,Coscinodiscus,-,Coscinodiscus sp.9,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Coscinodiscaceae,-,-,Coscinodiscus,-,Coscinodiscus sp.10,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Coscinodiscaceae,-,-,Coscinodiscus,-,Coscinodiscus sp.11,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Coscinodiscaceae,-,-,Coscinodiscus,-,Coscinodiscus sp.12,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Coscinodiscaceae,-,-,Coscinodiscus,-,Coscinodiscus sp.13,-,-,-
phytoplankton,Chromista,Harosa,Heterokonta ,-,Ochrophyta ,Khakista,-,-,Bacillariophyceae,Coscinodiscophycidae,-,Coscinodiscanae,Coscinodiscales,-,-,-,Coscinodiscaceae,-,-,Palmeria,-,Palmeria hardmanniana ,-,-,-
